protein_id,all_count,valid_count,total_unique_count,intersection_count
HOMEZ,383975,383892,252568,156
HOXA1,855327,855190,520807,352
HOXA10,3051935,3051639,2424278,0
HOXA13,3341784,3341109,2135738,1144
HOXA2,3213443,3212777,2424586,1111
HOXB13,786226,786062,419773,270
HOXB2,3355878,3354790,2456421,1099
HOXB3,891258,891096,485124,313
HOXB5,688536,688351,658965,389
HOXC10,744841,744716,380637,237
HOXC11,3249062,3248352,2799474,1363
HOXC12,1691941,1691405,446608,224
HOXC13,1560405,1559779,860914,463
HOXD11,224598,224556,144511,86
HOXD12,3058300,3057186,430412,236
HOXD13,570,570,438,9
HOXD8,243545,243449,70829,50
HSF1,4409925,4408444,1668332,581
HSF2,1308999,1308935,941574,698
HSF4,2951794,2950783,353605,114
HSFY2,2596831,2595912,356761,164
Hic1,266923,266806,226850,117
Hlf,3267171,3266987,1151864,1019
Hnf4a,2800152,2799518,560018,343
Hoxa11,2518675,2518068,1301970,652
Hoxa2,2816953,2816294,660909,335
Hoxc10,3193795,3193050,1989847,1122
Hoxd13,311470,309583,308140,151
Hoxd3,2849252,2849037,2319466,2266
Hoxd9,2707384,2706787,1756439,1044
ID4,15929,15928,14593,227
IRF3,2070039,2069108,607944,94
IRF4,1326455,1324266,82166,54
IRF5,805045,803923,509273,335
IRF7,233353,233242,35789,16
IRF8,2332863,2330446,1223266,552
IRF9,2852694,2852545,808468,587
IRX2,3511961,3511603,3133159,2
IRX5,2832930,2832715,2163383,1843
ISL2,3720971,3720582,3185376,1
ISX,4038142,4036720,331864,149
Irx3,368515,368431,132943,80
JDP2,1574751,1548766,762233,393
Jdp2,95924,95887,32343,33
KLF13,1943966,1908485,510680,375
KLF14,2344458,2343994,705241,514
KLF16,2627391,2626835,1796060,975
Klf12,58419,58412,21903,12
LBX2,906191,906045,656493,335
LEF1,29105,29090,26270,15
LHX2,2103734,2103514,786716,0
LHX6,1040102,1039940,862844,466
LHX9,726673,726553,423239,238
LMX1A,970576,970349,739931,407
LMX1B,1124427,1123783,955704,712
Lhx4,2853406,2852749,2312392,1170
Lhx8,142427,142377,104166,11
MAFF,429690,429565,354849,230
MAFG,1781,1781,1692,0
MAFK,3889489,3878536,662923,105
MAX,924492,924331,367943,132
MEF2A,141724,141709,129897,63
MEF2B,379975,379390,326869,191
MEF2D,0,0,0,0
MEIS1,0,0,0,0
MEIS2,147710,147669,107585,62
MEIS3,658510,658371,71747,23
MEOX1,2149976,2149851,1925691,874
MEOX2,3367843,3367460,1131162,1
MESP1,224668,224596,64222,29
MGA,3204157,3203073,123313,57
MIXL1,581045,570347,488030,254
MLX,1168580,1168461,955609,11994
MLXIPL,198702,194993,166094,71
MNT,689768,689643,430490,240
MNX1,43332,37902,32942,44
MSC,1128941,1108385,1066081,431
MSX1,4562153,4554098,2767211,565
MSX2,1777470,1777389,1024108,503
MTF1,394313,394238,381224,148
MYBL1,1290418,1290139,440170,218
MYBL2,980891,975345,105807,48
MYF6,988362,988207,926336,605
Mafb,201765,201677,141236,48
Meis2,3646021,3645722,1554346,1193
Meis3,2238616,2238148,432362,231
Meox2,1975208,1974761,1402535,657
Mlx,591908,591840,99541,749
Msx3,300647,300511,178000,131
NEUROD2,1288221,1264888,1207379,498
NEUROG2,1737992,1716797,1504630,769
NFAT5,189732,189648,49809,23
NFATC1,1333950,1309447,557153,260
NFE2,290693,289227,165933,114
NFIA,1394785,1369755,383853,150
NFIB,873793,872423,103023,78
NFIL3,3307878,3306717,179937,88
NFIX,1786617,1786418,1450863,404
NFKB1,273271,273146,122742,55
NFKB2,0,0,0,0
NHLH1,3005448,3005314,2815894,1377
NKX2-3,4596368,4595304,2784639,1383
NKX2-8,4316456,4304279,2448846,910
NKX3-1,906936,905453,679636,353
NKX3-2,856379,856232,680458,280
NKX6-1,4979661,4979204,3818211,510
NKX6-2,4506009,4481378,2657251,1252
NOTO,2126040,2126033,1910331,2
NR2C2,681221,681062,288796,105
NR2E1,2525508,2525372,2329560,1142
NR2F1,5911816,5907629,3402132,713
NR2F6,2342998,2313319,381709,146
NR3C1,735332,731271,555450,253
NR3C2,1120312,1118501,152223,88
NR4A2,2625522,2625389,1520106,766
NRF1,320845,320711,39708,14
NRL,0,0,0,0
Nkx3-1,263755,263656,250693,94
Nkx6-1,625067,545730,537909,366
Nr2e1,280011,279924,268170,164
Nr2f6,377076,376993,54073,37
OLIG1,665522,665371,317803,189
OLIG2,1847760,1847124,550799,265
OLIG3,821459,821286,423169,241
ONECUT1,3497497,3495176,1429758,712
ONECUT2,4804583,4804116,3239557,5
ONECUT3,2565437,2564587,479988,299
OTX1,899664,899494,371517,138
OTX2,105476,105437,85250,48
Otx1,98227,98198,97158,58
PAX1,1405883,1405388,260088,150
PAX2,2676777,2675927,329044,79
PAX3,2836268,2835780,750005,398
PAX4,3465548,3464678,2087482,1169
PAX5,3153801,3152756,473813,166
PAX6,2104796,2104136,704100,296
